Player,player_id,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL team key,Overs,Mdns,Runs conceeded,Wkts,BBI,Bowling Ave,Econ,Bowling SR,4 wicket hauls,5 wicket hauls,Ct
MK Lomror,853265,8,7,1,130,47,21.66,95,136.84,0,0,0,7,7,106,4,0,34,0,,0.00,8.50,0.00,0,0,1
S Dube,714451,21,19,3,314,46,20.53,138,120.17,0,0,0,20,17,106,13.4,0,112,4,,10.13,8.96,8.00,0,0,4
Kartik Tyagi,1122918,12,4,2,5,2*,2.50,9,55.55,0,0,0,0,0,106,46.1,0,428,12,2/29,35.66,9.27,23.00,0,0,3
TG Southee,232364,40,14,6,115,7*,12.06,55,102.46,0,0,0,8,4,100,148,2,1293,28,3/30,48.48,8.80,32.75,0,0,17
C de Grandhomme,55395,25,21,5,303,40,18.94,133,135.02,0,0,3,18,18,100,36,0,319,6,1/8,62.88,8.82,42.00,0,0,6
YS Chahal,430246,107,18,12,32,8*,2.67,78,20.51,0,0,1,0,0,100,380,3,2936,126,4/25,11.52,8.11,8.95,2,0,23
KW Richardson,272262,15,4,1,36,26,6.00,36,81.48,0,0,0,2,1,100,55.5,0,472,19,3/13,31.33,8.62,22.07,0,0,6
Sachin Baby,432783,19,11,2,144,33,10.31,111,84.94,0,0,1,11,5,100,1.4,0,8,2,2/4,2.00,2.40,2.50,0,0,5
Washington Sundar,719715,42,26,10,217,5*,11.43,183,94.33,0,0,2,17,6,100,125,1,867,27,3/24,29.51,6.67,26.25,0,0,9
Mohammed Siraj,940973,43,15,10,66,14,6.60,76,43.42,0,0,0,5,2,100,147.2,4,1287,45,3/8,25.96,8.93,17.55,1,0,14
NA Saini,700167,27,6,3,31,12*,10.33,35,88.57,0,0,0,3,0,100,95.4,1,803,17,2/24,47.23,8.39,33.70,0,0,5
JO Holder,391485,20,11,2,118,26*,8.23,79,79.10,0,0,1,9,6,107,71.5,0,602,22,3/25,51.29,8.28,37.30,0,0,5
MR Marsh,272450,21,15,2,225,7,10.53,155,69.89,0,0,1,9,14,107,52.7,0,420,20,,18.83,7.80,14.45,1,0,7
Abhishek Sharma,1070183,17,15,5,150,46*,36.33,75,153.45,0,0,0,10,8,107,18,0,155,5,2/24,15.50,4.31,10.80,0,0,4
S Kaul,326017,49,10,6,12,7*,0.38,17,49.73,0,0,2,0,0,107,178.7,2,1539,54,4/29,37.61,8.55,26.40,1,0,7
S Nadeem,31872,72,22,8,39,6*,3.08,78,59.40,0,0,6,2,0,107,235.5,2,1784,48,2/19,37.50,8.02,28.15,0,0,16
Basil Thampi,732291,20,8,7,32,3,2.00,28,78.57,0,0,0,1,1,107,70.5,0,694,17,2/4,41.77,9.90,25.20,0,0,4
Mujeeb Ur Rahman,974109,19,7,4,12,10*,1.83,14,89.29,0,0,2,2,0,107,72.2,0,592,19,2/29,23.81,7.74,18.05,0,0,2
T Natarajan,802575,24,4,4,3,3*,0.00,5,30.00,0,0,0,0,0,107,82.9,1,688,20,2/24,44.67,8.58,30.80,0,0,3
