Season ID,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL Team Key,player_id,Season Name
13840,Imran Tahir,1,0,0,0,,0,0,0,0,0,0,0,0,102,40618,2021
13840,KW Richardson,1,0,0,0,,0,0,0,0,0,0,0,0,100,272262,2021
13533,MM Sharma,1,0,0,0,,0,0,0,0,0,0,0,0,101,537119,2020
12741,JL Denly,1,1,0,0,0,0,1,0,0,0,1,0,0,101,12454,2019
13840,LH Ferguson,1,0,0,0,,0,0,0,0,0,0,0,0,101,493773,2021
12741,CV Varun,1,0,0,0,,0,0,0,0,0,0,0,0,101,1108375,2019
13840,KL Nagarkoti,1,1,0,0,0,0,2,0,0,0,1,0,0,101,1070188,2021
13533,I Sharma,1,0,0,0,,0,0,0,0,0,0,0,0,101,236779,2020
12741,AS Roy,1,0,0,0,,0,0,0,0,0,0,0,0,101,1079839,2019
12741,MM Sharma,1,1,1,0,0*,0,2,0,0,0,0,0,0,102,537119,2019
12741,KV Sharma,1,0,0,0,,0,0,0,0,0,0,0,0,102,30288,2019
13533,Avesh Khan,1,0,0,0,,0,0,0,0,0,0,0,0,101,694211,2020
13533,DA Miller,1,1,0,0,0,0,0,0,0,0,1,0,0,106,321777,2020
13840,A Nortje,1,0,0,0,,0,0,0,0,0,0,0,0,101,481979,2021
13840,BA Stokes,1,1,0,0,0,0,3,0,0,0,1,0,0,106,311158,2021
12741,S Midhun,1,0,0,0,,0,0,0,0,0,0,0,0,106,1131619,2019
13840,DS Kulkarni,1,1,1,0,0*,0,0,0,0,0,0,0,0,101,277955,2021
13840,NM Coulter-Nile,1,0,0,0,,0,0,0,0,0,0,0,0,101,261354,2021
13533,Harpreet Brar,1,0,0,0,,0,0,0,0,0,0,0,0,101,1168641,2020
13533,S Kaul,1,0,0,0,,0,0,0,0,0,0,0,0,107,326017,2020
13840,JDS Neesham,1,1,0,0,0,0,1,0,0,0,1,0,0,101,355269,2021
13533,MR Marsh,1,1,0,0,0,0,1,0,0,0,1,0,0,107,272450,2020
13840,S Nadeem,1,1,0,0,0,0,1,0,0,0,1,0,0,107,31872,2021
13840,JR Hazlewood,1,0,0,0,,0,0,0,0,0,0,0,0,102,288284,2021
12741,SW Billings,1,1,0,0,0,0,4,0,0,0,1,0,0,102,297628,2019
13533,Basil Thampi,1,0,0,0,,0,0,0,0,0,0,0,0,107,732291,2020
12741,P Chopra,1,0,0,0,,0,0,0,0,0,0,0,0,106,500135,2019
13533,S Sandeep Warrier,1,0,0,0,,0,0,0,0,0,0,0,0,101,592735,2020
13533,SP Goswami,2,2,0,0,0,0,4,0,0,0,2,0,0,107,302579,2020
13533,MJ Santner,2,0,0,0,,0,0,0,0,0,0,0,0,102,502714,2020
